"source","destination","flow","dest_output","flow_per"
"880000","141000",281.5,1821.1,0.154576904068969
"890000","141000",17,1821.1,0.00933501729723793
"900000","141000",432.8,1821.1,0.237658558014387
"880000","141100",633.9,4917.7,0.128901722349879
"890000","141100",29.2,4917.7,0.00593773512007646
"900000","141100",1343.7,4917.7,0.273237489070094
"880000","141200",658.6,5178.6,0.12717722936701
"890000","141200",10.1,5178.6,0.00195033406712239
"900000","141200",354.4,5178.6,0.0684354844938787
"880000","141301",1172.1,6507,0.180129091747349
"890000","141301",42.1,6507,0.00646995543261103
"900000","141301",1301.6,6507,0.200030736130321
"880000","141302",938.5,5314.6,0.176589018928988
"890000","141302",30.8,5314.6,0.0057953561886125
"900000","141302",1266.8,5314.6,0.238362247393971
"880000","141401",482,4659.5,0.10344457559824
"890000","141401",18.1,4659.5,0.00388453696748578
"900000","141401",265.3,4659.5,0.0569374396394463
"880000","141402",775.9,6257.8,0.123989261401771
"890000","141402",24.1,6257.8,0.00385119371024961
"900000","141402",1989.3,6257.8,0.317891271692927
"880000","141403",378.4,2491.2,0.15189466923571
"890000","141403",7.5,2491.2,0.00301059730250482
"900000","141403",522.2,2491.2,0.209617854849069
"880000","141501",487.5,4586.9,0.106280930475921
"890000","141501",25.5,4586.9,0.00555931020950969
"900000","141501",1296.9,4586.9,0.282739976890711
"880000","141502",1205.9,13798.7,0.0873922905780979
"890000","141502",17.5,13798.7,0.00126823541348098
"900000","141502",-216.8,13798.7,-0.0157116250081529
"880000","141600",126.1,1297.6,0.0971794081381011
"890000","141600",3.5,1297.6,0.00269728729963009
"900000","141600",121,1297.6,0.093249075215783
"880000","141700",401.4,4729.4,0.0848733454560832
"890000","141700",56.7,4729.4,0.0119888357931239
"900000","141700",423.1,4729.4,0.0894616653275257
"880000","141801",6316.8,20730.5,0.304710450785075
"890000","141801",125.2,20730.5,0.00603941053037795
"900000","141801",7704.6,20730.5,0.371655290513977
"880000","141802",1435.2,5844.9,0.245547400297695
"890000","141802",43.6,5844.9,0.00745949460213177
"900000","141802",1916.7,5844.9,0.327926910640045
"880000","141803",279.3,1152.7,0.242300685347445
"890000","141803",12.5,1152.7,0.0108441051444435
"900000","141803",196.3,1152.7,0.17029582718834
"880000","141900",699.9,5622.6,0.12447977803863
"890000","141900",35.2,5622.6,0.00626044890264291
"900000","141900",486.2,5622.6,0.0864724504677551
"880000","142001",1299,6779,0.191621183065349
"890000","142001",38.5,6779,0.00567930373211388
"900000","142001",1518.7,6779,0.224030092934061
"880000","142002",385.8,3162.7,0.121984380434439
"890000","142002",7,3162.7,0.00221329876371455
"900000","142002",640.3,3162.7,0.202453599772346
"880000","142003",164.7,962.9,0.171045799148406
"890000","142003",6.3,962.9,0.00654273548655104
"900000","142003",360.3,962.9,0.374182158064181
"880000","142004",245.2,2132.2,0.114998593002533
"890000","142004",12.1,2132.2,0.00567488978519839
"900000","142004",377.9,2132.2,0.177234780977394
"880000","142101",1797.2,15116.5,0.118889954685278
"890000","142101",1704.9,15116.5,0.112784043925512
"900000","142101",3742.7,15116.5,0.247590381371349
"880000","142102",61.4,521,0.11785028790787
"890000","142102",4.4,521,0.00844529750479846
"900000","142102",52.8,521,0.101343570057582
"880000","142103",467.7,3836.8,0.12189845704754
"890000","142103",706.1,3836.8,0.184033569641368
"900000","142103",571.8,3836.8,0.149030442035029
"880000","142104",328.9,6635.5,0.0495667244367418
"890000","142104",3452.8,6635.5,0.520352648632356
"900000","142104",1128,6635.5,0.169994725340969
"880000","142200",3009.1,19655.3,0.153093567638245
"890000","142200",209.7,19655.3,0.0106688781143
"900000","142200",3368.2,19655.3,0.171363449044278
"880000","142300",340.5,4616.6,0.0737555776978729
"890000","142300",16.1,4616.6,0.00348741498072174
"900000","142300",2093.1,4616.6,0.45338560845644
"880000","142400",66.2,430.8,0.153667595171773
"890000","142400",1.2,430.8,0.00278551532033426
"900000","142400",16.3,430.8,0.0378365831012071
"880000","142500",237.8,8444.6,0.0281600075788078
"890000","142500",47.2,8444.6,0.00558937072211828
"900000","142500",284.3,8444.6,0.0336664850910641
"880000","142600",27.8,414.9,0.0670040973728609
"890000","142600",1.7,414.9,0.00409737286093035
"900000","142600",30.2,414.9,0.0727886237647626
"880000","142700",297.3,1630.2,0.18237026131763
"890000","142700",17.5,1630.2,0.0107348791559318
"900000","142700",403.5,1630.2,0.247515642252484
"880000","142800",404.6,5751.2,0.070350535540409
"890000","142800",7.2,5751.2,0.00125191264431771
"900000","142800",1398.1,5751.2,0.243097092780637
"880000","142900",352.1,4036,0.0872398414271556
"890000","142900",10.9,4036,0.00270069375619425
"900000","142900",444,4036,0.110009910802775
"880000","143000",111,280.9,0.395158419366323
"890000","143000",7.5,280.9,0.0266998932004272
"900000","143000",69.9,280.9,0.248843004627982
"880000","143100",189.1,1010.2,0.187190655315779
"890000","143100",9.9,1010.2,0.00980003959611958
"900000","143100",288,1010.2,0.285092060978024
"880000","143201",876.7,4815.8,0.182046596619461
"890000","143201",17.7,4815.8,0.00367540180240043
"900000","143201",1434.8,4815.8,0.297935960795714
"880000","143202",1562.1,9469.6,0.16495944918476
"890000","143202",49.7,9469.6,0.00524837374334713
"900000","143202",2281.6,9469.6,0.240939427219735
"880000","150101",2345.1,21601.7,0.108560900299513
"890000","150101",4652.2,21601.7,0.215362679789091
"900000","150101",8068.2,21601.7,0.373498382071781
"880000","150102",64.6,227.8,0.283582089552239
"890000","150102",39,227.8,0.171202809482002
"900000","150102",22.4,227.8,0.0983318700614574
"880000","150103",142.1,1048,0.135591603053435
"890000","150103",6.6,1048,0.00629770992366412
"900000","150103",472,1048,0.450381679389313
"880000","150200",300.7,3505.2,0.0857868309939518
"890000","150200",2.9,3505.2,0.000827342234394614
"900000","150200",679.1,3505.2,0.193740728061166
"880000","160100",5421.8,25568.4,0.212050812721954
"890000","160100",137.4,25568.4,0.00537382081006242
"900000","160100",2453.9,25568.4,0.0959739365779634
"880000","160200",376.7,1127.5,0.33410199556541
"890000","160200",5.3,1127.5,0.00470066518847007
