"source","destination","flow"
"400901","910000",79.7
"400902","910000",0
"410100","910000",113.8
"410201","910000",0
"410202","910000",18.2
"410203","910000",1332.2
"420100","910000",1008.4
"420201","910000",1095.2
"420202","910000",56.1
"420300","910000",558
"420401","910000",0
"420402","910000",0
"420500","910000",203.6
"420700","910000",32
"420800","910000",0
"421000","910000",431.4
"421100","910000",215
"430100","910000",0
"430200","910000",461.1
"440001","910000",0
"440002","910000",247.7
"450100","910000",0
"450200","910000",0
"450300","910000",0
"460100","910000",0
"460200","910000",0
"460300","910000",0
"460400","910000",0
"470100","910000",20.2
"470200","910000",0
"470300","910000",0
"470401","910000",524.4
"470402","910000",0
"470404","910000",38.5
"470405","910000",0
"470500","910000",0
"480100","910000",0
"480200","910000",0
"480300","910000",175.7
"480400","910000",0
"480500","910000",0
"480600","910000",0
"490100","910000",0
"490200","910000",0
"490300","910000",0
"490500","910000",0
"490600","910000",0
"490700","910000",0
"490800","910000",0
"500100","910000",29
"500200","910000",0
"500300","910000",88.4
"500400","910000",0
"510102","910000",93.5
"510103","910000",1701.7
"510104","910000",1350.7
"510400","910000",143.6
"520100","910000",0
"520200","910000",0
"520300","910000",883
"520400","910000",0
"520500","910000",0
"530200","910000",5.5
"530300","910000",74
"530400","910000",79.6
"530500","910000",0
"530700","910000",0
"530800","910000",1.4
"540100","910000",2609
"540200","910000",2173.8
"540300","910000",2370.2
"540400","910000",2484.4
"540500","910000",1167.3
"540700","910000",1192.1
"550100","910000",1168.6
"550200","910000",1109.4
"550300","910000",0
"560100","910000",16087.9
"560200","910000",1382
"560300","910000",793.3
"560500","910000",123.7
"570100","910000",30
"570200","910000",0
"570300","910000",233.4
"580100","910000",1691.6
"580200","910000",1317.4
"580400","910000",722.9
"580600","910000",1084.9
"580700","910000",460.3
"590100","910000",0
"590200","910000",0
"590301","910000",101874.6
"590302","910000",3132.9
"600100","910000",316.4
"600200","910000",0
"600400","910000",0
"610100","910000",0
"610200","910000",4891.7
"610300","910000",0
"610500","910000",1735
"610601","910000",1605
"610603","910000",2266.8
"610700","910000",544
"620101","910000",0
"620102","910000",0
"620200","910000",58.7
"620300","910000",0
"620400","910000",71
"620500","910000",2179.4
"620600","910000",0
"620700","910000",2035.9
"620800","910000",0
"620900","910000",0
"621000","910000",111.1
"621100","910000",0
"630200","910000",1939.5
"630300","910000",2685.6
"640101","910000",6602.4
"640102","910000",3174
"640104","910000",414.9
